,rmse,r2
ridge,32453.750139087457,0.8626856446987321
lasso,32839.62679220179,0.8594008835190615
elasticnet,32496.16738874936,0.8623264687272179
random_forest,28749.198645376513,0.8922449449442098
svr,88653.14988617947,-0.024647553760768437
random_forest_tuned,28962.52118322009,0.890639901011969
